irradiation date,cell line,radiation type,sample_id,dose,image_nr,nuclei,micronuclei
03JUN2022,A549,xray,1,8,8,2,0
03JUN2022,A549,xray,1,8,8,1,0
03JUN2022,A549,xray,1,8,8,3,0
03JUN2022,A549,xray,1,8,8,2,0
03JUN2022,A549,xray,1,8,8,1,0
03JUN2022,A549,xray,1,8,8,1,0
03JUN2022,A549,xray,1,8,8,2,0
03JUN2022,A549,xray,1,8,8,1,0
03JUN2022,A549,xray,1,8,8,2,0
03JUN2022,A549,xray,1,8,9,1,2
03JUN2022,A549,xray,1,8,9,1,2
03JUN2022,A549,xray,1,8,9,2,1
03JUN2022,A549,xray,1,8,9,1,0
03JUN2022,A549,xray,1,8,9,1,0
03JUN2022,A549,xray,1,8,9,2,0
03JUN2022,A549,xray,1,8,9,1,0
03JUN2022,A549,xray,1,8,9,1,0
03JUN2022,A549,xray,1,8,9,2,0
03JUN2022,A549,xray,1,8,9,1,2
03JUN2022,A549,xray,1,8,9,1,0
03JUN2022,A549,xray,1,8,9,2,0
03JUN2022,A549,xray,1,8,9,2,0
03JUN2022,A549,xray,1,8,2,1,0
03JUN2022,A549,xray,1,8,2,1,0
03JUN2022,A549,xray,1,8,3,2,1
03JUN2022,A549,xray,1,8,3,1,0
03JUN2022,A549,xray,1,8,3,0,2
03JUN2022,A549,xray,1,8,3,1,0
03JUN2022,A549,xray,1,8,3,1,0
03JUN2022,A549,xray,1,8,3,3,0
03JUN2022,A549,xray,1,8,24,1,0
03JUN2022,A549,xray,1,8,24,3,1
03JUN2022,A549,xray,1,8,24,1,1
03JUN2022,A549,xray,1,8,24,2,1
03JUN2022,A549,xray,1,8,24,3,1
03JUN2022,A549,xray,1,8,24,0,0
03JUN2022,A549,xray,1,8,24,1,0
03JUN2022,A549,xray,1,8,24,1,0
03JUN2022,A549,xray,1,8,24,1,0
03JUN2022,A549,xray,1,8,24,2,0
03JUN2022,A549,xray,1,8,24,2,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,2,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,2,1
03JUN2022,A549,xray,1,8,25,3,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,2,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,2,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,25,1,0
03JUN2022,A549,xray,1,8,6,0,2
03JUN2022,A549,xray,1,8,6,2,0
03JUN2022,A549,xray,1,8,6,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,3,1
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,1
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,1,0
03JUN2022,A549,xray,1,8,7,2,0
03JUN2022,A549,xray,1,8,20,0,0
03JUN2022,A549,xray,1,8,20,1,0
03JUN2022,A549,xray,1,8,20,1,0
03JUN2022,A549,xray,1,8,20,1,0
03JUN2022,A549,xray,1,8,21,2,0
03JUN2022,A549,xray,1,8,21,1,0
03JUN2022,A549,xray,1,8,21,1,0
03JUN2022,A549,xray,1,8,21,2,1
03JUN2022,A549,xray,1,8,21,1,0
03JUN2022,A549,xray,1,8,21,1,0
03JUN2022,A549,xray,1,8,21,2,0
03JUN2022,A549,xray,1,8,21,2,0
03JUN2022,A549,xray,1,8,21,1,0
03JUN2022,A549,xray,1,8,14,1,0
03JUN2022,A549,xray,1,8,14,1,0
03JUN2022,A549,xray,1,8,14,1,0
03JUN2022,A549,xray,1,8,14,1,0
03JUN2022,A549,xray,1,8,14,1,0
03JUN2022,A549,xray,1,8,14,2,1
03JUN2022,A549,xray,1,8,15,2,0
03JUN2022,A549,xray,1,8,15,1,0
03JUN2022,A549,xray,1,8,1,1,0
03JUN2022,A549,xray,1,8,1,1,0
03JUN2022,A549,xray,1,8,1,2,0
03JUN2022,A549,xray,1,8,1,1,0
03JUN2022,A549,xray,1,8,1,2,0
03JUN2022,A549,xray,1,8,1,2,0
03JUN2022,A549,xray,1,8,1,2,0
03JUN2022,A549,xray,1,8,19,1,0
03JUN2022,A549,xray,1,8,18,2,1
03JUN2022,A549,xray,1,8,18,2,0
03JUN2022,A549,xray,1,8,18,3,0
03JUN2022,A549,xray,1,8,18,1,0
03JUN2022,A549,xray,1,8,18,1,0
03JUN2022,A549,xray,1,8,18,1,0
03JUN2022,A549,xray,1,8,18,1,0
03JUN2022,A549,xray,1,8,27,1,0
03JUN2022,A549,xray,1,8,27,1,0
03JUN2022,A549,xray,1,8,26,1,0
03JUN2022,A549,xray,1,8,26,1,0
03JUN2022,A549,xray,1,8,26,1,0
03JUN2022,A549,xray,1,8,26,0,2
03JUN2022,A549,xray,1,8,26,1,1
03JUN2022,A549,xray,1,8,13,1,0
03JUN2022,A549,xray,1,8,13,1,0
03JUN2022,A549,xray,1,8,13,1,0
03JUN2022,A549,xray,1,8,13,2,1
03JUN2022,A549,xray,1,8,13,2,0
03JUN2022,A549,xray,1,8,13,1,1
03JUN2022,A549,xray,1,8,13,1,2
03JUN2022,A549,xray,1,8,13,1,0
03JUN2022,A549,xray,1,8,13,3,1
03JUN2022,A549,xray,1,8,13,1,0
03JUN2022,A549,xray,1,8,13,1,0
03JUN2022,A549,xray,1,8,12,4,0
03JUN2022,A549,xray,1,8,12,3,0
03JUN2022,A549,xray,1,8,12,2,0
03JUN2022,A549,xray,1,8,30,2,2
03JUN2022,A549,xray,1,8,30,1,0
03JUN2022,A549,xray,1,8,31,2,0
03JUN2022,A549,xray,1,8,31,1,0
03JUN2022,A549,xray,1,8,31,1,0
03JUN2022,A549,xray,1,8,31,1,0
03JUN2022,A549,xray,1,8,31,0,0
03JUN2022,A549,xray,1,8,31,1,1
